id,body,picture,actor,time,class,num_likes,num_shares
41,"Hey fam! 📢 just read bout students standing up for their rights thru protests on campuses everywhere. 🏫✊ it's so cool to see our generation take action for what they believe in, demanding change and challenging the status quo. These young adults aren't just about textbooks and exams; they're about action and making a better future. Lets all take a moment to support their courage. 💪🔥 Remember, every big change starts with one small step. #StudentPower",41.jpg,casssssssssie,-20:11:00,Politics,532,43
0,Historic shift in #southafrican politics: ANC loses majority with just 40% of seats. Coalition govt ahead! #ANCloses,0.jpg,coachmatthews,-20:35:00,Politics,0,0
6,#universities are withholding degrees from students involved in Israel-Gaza protests. This will be a nationwide debate #freespeech #activism #studentprotests ,6.jpg,coachmatthews,-73:17:00,Politics,0,0
3,Rent and gas prices are so high!! How's everyone coping? #inflation #economy #wealth #money,3.jpg,coachmatthews,-97:16:00,Politics,1,1
9,"Judge Cannon dismissed Trump's classified documents case, citing the special counsel's appointment as unconstitutional. DOJ plans to appeal. What�s next? #TrumpCaseDismissed #LegalNews",9.jpg,coachmatthews,-48:44:00,Politics,1,1
5,"Shocking news! Farmers across the US are facing severe #PFAS contamination from sewage sludge used as fertilizer. They are #foreverchemicals and have already infiltrated crops and livestock... there's a #lawsuit against the #EPA for not regulating these toxic substances, but how do we address this issue urgently to protect our food and farmers?  #environmentaljustice #farmersright #cleanfood #pfasdanger #pfas #perflourinatedchemicals #healthyliving #nontoxicliving",5.jpg,coachmatthews,-76:04:00,Politics,2,1
4,"Jenna Ellis, ex-Trump lawyer, has her Colorado #lawlicense suspended for 3 years after guilty plea in #2020electioncase. 

#election2024 #uspolitics #politics #news",4.jpg,coachmatthews,-93:00:00,Politics,3,1
7,#HongKong court convicts 14 democracy activists under #nationalsecuritylaw. #beijing #china #news #internationalnews,7.jpg,coachmatthews,-71:20:00,Politics,11,2
2,"Ok... so #china's Defense Minister Dong Jun warned that Taiwan's move towards independence is increasingly eroding peaceful reunification prospects. Seems like there are ongoing tensions. A lot of things to discuss.. including #militaryactivities #southchinasea, #taiwanstrait. #USChinarelations",2.jpg,coachmatthews,-0:45:00,Politics,21,5
1,#nygovernor Hochul is considering a ban on smartphones in schools for #mentialhealth. Thoughts? #smartphoneban #newyork #education #smartphone,1.jpg,coachmatthews,-11:13:00,Politics,22,5
8,"#Louisiana is mandating the #tencommandments in public school classrooms. Is it #unconsistutional or is it just learning about #history?With a GOP-led legislature pushing this and other conservative measures, the debate over the separation of #church and #state is heating up... #education #educationlaw #god",8.jpg,coachmatthews,-51:45:00,Politics,44,11
283,"Gender Affirming Care News:

1. TN Gov just signed a law making it illegal for adults to help minors get abortions or gender-affirming care without their parents' okay. 
2. Effective July 1. Breaking this law could land you nearly a year in jail. 
3. Supporters say it protects parental rights, but critics say it's vague and puts vulnerable kids at risk. 
4. It will be a huge deal in the fight over reproductive rights and trans care in the U.S.
",283.jpg,difrad,-1:35:00,Politics,0,1
186,"So, #Tennessee's governor just signed this bill about 'abortion trafficking' for minors. Basically, it makes it a crime to help minors get an abortion without their parents knowing. As a nurse, I see how complicated healthcare is and how important it is to think about the needs and rights of minors. This feels more like a human rights issue than just politics. We're at a point where we gotta balance protection with autonomy in healthcare. What do you guys think about this new law?  🤝 ",186.jpg,DonDonDonna,-30:00:00,Politics,1,1
218,"I just read that Tennessee's governor signed this new law about 'abortion trafficking' for minors. It's a big move sparking lots of debate. Basically, it makes it illegal to help minors get an abortion without their parents knowing. This raises so many questions about healthcare access and the rights of minors. It's really complicated, and while I get the need to protect kids, I'm worried about those in unsafe homes who might be hurt more by this law. ",218.jpg,DonDonDonna,-0:23:00,Politics,26,9
210,"Whoa, did you guys hear? Biden said Trump should get a chance to appeal his conviction. 😲 Not something you see every day, especially with how divided things are now. Makes you think about the whole justice and due process thing that keeps our country together. No matter where you stand, legal rights are for everyone. Let's see how this plays out. ",210.jpg,DonDonDonna,-68:00:00,Politics,66,13
82,"President Ramaphosa has strongly condemned the violence following South Africa's recent election, emphasizing that it has no place in the country. As the ANC loses its majority, South Africa faces a critical period of coalition talks to determine its political future. Ramaphosa's call for peace and stability is crucial as the nation navigates these turbulent times. The outcome of these negotiations will shape the future of South Africa’s democracy. Let's hope for a peaceful and constructive resolution for all citizens. #SouthAfrica #Election2024 #Ramaphosa #Peace",82.jpg,fusionfeast,-47:42:00,Politics,16,5
79,"Tennessee Governor Bill Lee signed a law making it illegal to assist minors in obtaining abortions without parental consent, sparking controversy and potential legal challenges.",79.jpg,fusionfeast,-18:39:00,Politics,24,7
81,Hamas switches to guerrilla tactics in Gaza as their forces dwindle. Conflict shows no sign of ending soon. #GazaConflict #MiddleEast,81.jpg,fusionfeast,-71:41:00,Politics,77,14
80,GOP voters quickly changing their stance on Trump amid new crime allegations. What’s next for the 2024 race? #Election2024 #Trump,80.jpg,fusionfeast,-95:40:00,Politics,409,30
261,#saudieconomy #13billion #aramco #gloablinvestment #energy #economy #saudiarabia,261.jpg,gwenfromtheblock,-87:00:00,Politics,13,4
260,#ukrainewar #peace #peacenegotiations #threat #diplomacy #stability #war,260.jpg,gwenfromtheblock,-88:23:00,Politics,16,5
160,Tennessee Gov approves penalties for adults aiding minors in getting abortions or gender-affirming care. A significant move with serious implications. #Tennessee #Healthcare #Policy,160.jpg,jake_turk,-65:15:00,Politics,25,8
67,Just heard South Carolina banned #gender-affirmingcare for minors. 😟 What are your thoughts on this? #southcarolina,67.jpg,livelaughlove,-92:28:00,Politics,0,0
68,"Wow, #SCOTUS drama with Alito caught in some ethics mess over a luxury trip. Makes you wonder bout transparency and ethics at that level. 🤔 ",68.jpg,livelaughlove,-68:29:00,Politics,9,2
66,"Shocking to hear #Oregon's governor declared an emergency over the #fentanyl crisis. It's a wakeup call for all of us. Stay informed and safe, everyone. ",66.jpg,livelaughlove,-16:27:00,Politics,61,13
69,"Hey guys, just saw that prices are creeping up again. 📈 Planning the #familybudget is getting harder! Groceries and rent keep going up, ugh. 😩 Anyone else feeling this? How are you all managing with everything getting pricier? Let's swap tips! #budgetstruggles",69.jpg,livelaughlove,-44:30:00,Politics,64,12
39,Another heartbreaking escalation in the Israel-Gaza conflict. Hoping for a swift resolution & peace for everyone in the region. #Israel #Gaza #Peace,39.jpg,localewis,-18:04:00,Politics,1,1
36,Hush money trial 4 #Trump brings up ethical issues. Leaders should B accountable for their actions no matter what party their from. #lockhimup,36.jpg,localewis,-61:11:00,Politics,3,1
31,Terrible news out of Hong Kong. Pro-democracy activists were convicted of subversion. Upholding democracy shouldn't be a crime. #standwithhongkong #hongkongprotests,31.jpg,localewis,-9:08:00,Politics,8,2
38,Colleges shouldn't be withholding degrees of kids who protest? This is a worrying violation of students' rights to free speech and right to assemble. Stop pandering and policitizing #highered. #campusprotests #1A #FirstAmendment #protected,38.jpg,localewis,-47:13:00,Politics,10,2
34,"President Biden has dropped out of the 2024 race, endorsing Kamala Harris as the Democratic nominee. What does this mean for the election dynamics? #Election2024 #Biden #KamalaHarris",34.jpg,localewis,-81:02:00,Politics,12,3
33,Colege students are standing up for justice on campus. Gr8t to see young folks activism in action. #campusprotests,33.jpg,localewis,-89:14:00,Politics,14,4
37,Texas SCOTUS upheld the state abortion ban. This is a #reproductiverights issue. Worrying. #ReproJustice,37.jpg,localewis,-50:12:00,Politics,14,4
35,"Louisiana is considering displaying the Ten Commandments in public school classrooms. We should respect diverse beliefs, but keep it out of our public schools! #1A #FirstAmendment #protected",35.jpg,localewis,-62:10:00,Politics,16,4
32,A SCOTUS ruling against the abortion pill would be a real blow for reproductive rights. Access to safe abortion care should B protected. #ReproJustice,32.jpg,localewis,-4:09:00,Politics,28,11
40,Students at #UCBerkeley taking a stand for what they believe in! Inspiring to see these kids advocating for change. #campusprotests #1A #FirstAmendment #protected,40.jpg,localewis,-42:30:00,Politics,165,15
10,The 2024 DNC Convention in Chicago will officially nominate Kamala Harris. Excited to see the Midwest's key role in this election! #DNC2024 #Election2024,10.jpg,M.Kapadia92,-22:40:00,Politics,0,0
19,"In a bold move, Taiwan's newly inaugurated President William Lai has called on China to cease its threats and acknowledge Taiwan's democracy. 🇹🇼 Lai's speech emphasized the importance of peaceful coexistence and mutual respect, urging China to respect Taiwan's sovereignty and democratic values. ✌️ This marks a significant stance in the ongoing tensions between Taiwan and China, as Lai stands firm in protecting Taiwan's independence and democratic system. 🌟 It's inspiring to see a leader so committed to upholding the principles of democracy and peace. The international community must support Taiwan's right to self-determination and push back against any form of intimidation. Let's hope this message resonates and leads to a more peaceful and cooperative relationship in the region. 🌍 #Taiwan #WilliamLai #Democracy",19.jpg,M.Kapadia92,-61:25:00,Politics,3,1
20,California and Oregon are stepping up efforts in the war on drugs to combat the fentanyl crisis. 💪 Tougher measures and increased resources aim to tackle this devastating epidemic. 🚫💊 #FentanylCrisis,20.jpg,M.Kapadia92,-44:34:00,Politics,4,1
12,"Breaking news: Former President Donald Trump guilty on all 34 felony counts in his hush money trial. The charges stem from a $130,000 payment made to Stormy Daniels before the 2016 election, intended to silence her about an alleged affair. The Manhattan jury's decision marks the first-ever criminal conviction of a former U.S. president. Trump has called the trial a ""rigged scam"" and vows to appeal, but President Biden emphasizes that the verdict demonstrates ""no one is above the law."" The sentencing is scheduled for July 11, with potential implications for the upcoming 2024 election. Stay tuned for more updates! #Election2024  📊📈📉",12.jpg,M.Kapadia92,-16:59:00,Politics,5,2
21,"Heartbreaking scenes from Gaza as Israel's strikes intensify, targeting Bureij camp. 💔 The conflict continues to escalate with devastating impact on civilians. #GazaUnderAttack #PrayForGaza 🙏
",21.jpg,M.Kapadia92,-40:00:00,Politics,5,2
11,"The Texas Supreme Court has upheld the state’s restrictive abortion laws, rejecting a challenge from women with severe pregnancy complications. This decision continues to limit abortion access. 🤰🚫💔😠",11.jpg,M.Kapadia92,-19:20:00,Politics,10,2
17,"Oregon Governor Tina Kotek has declared a state of emergency to tackle the fentanyl crisis ravaging our communities. This powerful opioid is causing untold devastation, claiming lives and tearing families apart. The emergency declaration will help mobilize critical resources, enhance prevention efforts, and expand access to treatment. 💔 Heartbreaking to see so many lives lost to this epidemic, but this decisive action offers hope. We need to come together as a community, support those affected, and push for comprehensive solutions to end this nightmare. Let's stand united against this crisis and work towards a safer, healthier future for everyone in Oregon. 🙏🏼🌟 #FentanylCrisis #Oregon",17.jpg,M.Kapadia92,-78:45:00,Politics,11,2
15,Stanford students arrested during a pro-Palestinian protest at the university presidents office. Tensions rise over Middle East politics on campuses. #ProPalestinian #CampusActivism ✊✊✊✊✊,15.jpg,M.Kapadia92,-91:20:00,Politics,18,5
14,NY Gov. signs bill to ban smartphones in schools! Aims to improve focus and reduce distractions. Mixed feelings about this move. 📱👩‍🎓 📓 🔖 ✒️ 🎒 📚 📘,14.jpg,M.Kapadia92,-94:40:00,Politics,22,6
18,Kamala Harris is set to become the Democratic nominee for 2024 after Biden's endorsement and securing enough delegates. #Election2024 #KamalaHarris,18.jpg,M.Kapadia92,-64:10:00,Politics,25,7
13,"🤰🚫 starting July 1, it will be a Class A misdemeanor for any nonparental adult to help a minor obtain an abortion or abortion pills without parental consent. The law aims to prevent adults from transporting minors across state lines for abortion services. Proponents argue it protects minors and parental rights, while opponents claim it restricts access to essential healthcare and infringes on personal freedoms. Your thoughts? #AbortionRights #TennesseeLaw ",13.jpg,M.Kapadia92,-96:00:00,Politics,28,11
16,Trump's conviction in NY is already impacting his early campaign efforts. Will this change the course of the 2024 election?  🤔🗳️ #2024Election,16.jpg,M.Kapadia92,-81:20:00,Politics,256,21
131,"A ceasefire in the #IsraelGaza conflict would bring temporary relief, but lasting #peace requires addressing underlying issues. We should all demand/support diplomatic efforts for a sustainable solution. ",131.jpg,mateoV,-35:33:00,Politics,99,14
130,The war in #Ukraine continues to devastate communities. Our thoughts are with those affected by the conflict. International efforts for peace are crucial. ,130.jpg,mateoV,-83:31:00,Politics,877,65
72,hey y'all gov hocul from #ny is thinking about banning smartphones in ny schools? is it about social media addiction? what do you guys think about this,72.jpg,NoahM1121,-64:33:00,Politics,27,9
71,student protests are blowing up on campuses all over the place! and now everyone is arguing about #freespeech and if #adults should step in. are the protests justified? or ate the students just wilding out?,71.jpg,NoahM1121,-93:32:00,Politics,52,11
70,"whoa, trump's guilty verdict is dropping right before the 2024 election! do you think this is gonna scare off voters or just fire up his supporters even more? #electiondrama #election ",70.jpg,NoahM1121,-17:31:00,Politics,93,15
217,Have you all seen the Idaho Republican primary results? Do you think it shows a rise in extremist candidates? How do you feel about this?,217.jpg,PatelS,-15:55:00,Politics,0,1
185,"I just saw that the Biden administration has secretly given Ukraine the green light to use U.S. weapons to strike inside Russia near Kharkiv. It's a bold move, but with Putin's threats of nuclear retaliation, I believe that the stakes are incredibly high. How do you all feel about this escalation?",185.jpg,PatelS,-57:33:00,Politics,1,1
209,"For Georgia's State Election Board, Janelle King has been appointmented. Janelle King is a conservative media personality. I think this move will continue highlighting debates over election integrity in Georgia.",209.jpg,PatelS,-1:55:00,Politics,15,4
54,"The new Farm Bill targets PFAS ""forever chemicals,"" aiming to reduce their harmful impact on our environment and health. Time to address this serious issue!

",54.jpg,ria_camiii,-13:15:00,Politics,12,3
55,"Exciting news from Mexico! Claudia Sheinbaum is set to become the country’s next president. As the first woman to hold this position, Sheinbaum brings a background in science and a history of progressive policies. She has been a prominent figure in Mexico City’s politics, serving as its mayor and focusing on sustainability, public transportation, and social programs. Her presidency marks a significant step forward for gender equality in Mexico and offers hope for continued progressive reforms. It will be interesting to see how her leadership shapes Mexico's future. #ClaudiaSheinbaum #Mexico",55.jpg,ria_camiii,-89:16:00,Politics,18,6
57,South Carolina Governor signs a controversial ban on gender-affirming medical care for minors. This is a huge setback for LGBTQ+ rights. #transrights #lgbtq #southcarolina,57.jpg,ria_camiii,-41:18:00,Politics,22,6
56,Trump found guilty in NY hush money trial. Major implications for his 2024 presidential campaign! #trumptrial,56.jpg,ria_camiii,-65:17:00,Politics,197,17
58,Stanford students were arrested during a pro-Palestinian protest after occupying the university president's office. The demonstration called for divestment from companies linked to Israel's actions in Gaza.,58.jpg,SnakeCharmer,-14:19:00,Politics,13,3
60,"Justice Samuel Alito is under fire for displaying controversial flags associated with the January 6 Capitol riots at his homes. An upside-down American flag, flown in 2021, and an ""Appeal to Heaven"" flag, seen last year, have led to calls for his recusal from cases related to the January 6 insurrection and former President Trump. Alito insists that his wife was responsible for the flags and denies any intention to signal political views. Critics argue that this undermines judicial impartiality, prompting debates about ethics and the Supreme Court's integrity​",60.jpg,SnakeCharmer,-66:21:00,Politics,14,4
61,"Moderate Republicans in North Idaho, like Jim Woodward, are pushing back against the region's growing extremism. Woodward, once a supporter of strict abortion laws, now advocates for more moderate positions on women's health and other issues. He faces fierce opposition from far-right candidates like Scott Herndon, who use aggressive tactics to win votes. Woodward's efforts include reaching out to left-leaning voters and moderates to counteract extremism, aiming to restore balance and address critical issues like healthcare and education.",61.jpg,SnakeCharmer,-42:22:00,Politics,17,5
59,"Jenna Ellis, a former Trump lawyer, had her law license suspended in Colorado for three years due to her involvement in efforts to overturn the 2020 election results in Georgia. She pleaded guilty to aiding and abetting false statements and has expressed remorse for her actions.",59.jpg,SnakeCharmer,-90:20:00,Politics,92,14
158,"Uvalde's GOP Rep. Tony Gonzalez faces a tense runoff, targeting right-wing ‘anarchists’ in his bid to secure his seat. Will this strategy pay off? #TexasPolitics ",158.jpg,Sue_S,-95:13:00,Politics,0,1
75,"Taiwan's newly inaugurated President is already facing immense pressure from China, with threats of aggression and increased military presence looming large. In a recent meeting with U.S. lawmakers, the importance of supporting Taiwan's democracy and ensuring regional stability was underscored. The tension between Taiwan and China is not just a regional issue but a global one, highlighting the need for international solidarity and a strong stance against any form of intimidation. President Lai's commitment to defending Taiwan's sovereignty is commendable, and it's crucial for the global community to back Taiwan in its fight for democratic values and freedom. #Taiwan #China #InternationalRelations #Democracy #SupportTaiwan",75.jpg,sweetpea,-94:36:00,Politics,9,2
78,Taiwans new president William Lai calls for international support amid escalating threats from China. The tension between Taiwan and China continues to rise. #Taiwan #China,78.jpg,sweetpea,-46:38:00,Politics,22,7
77,"The debate over the US economy is heating up, with republicans and democrats offering starkly different views. While republicans argue that high inflation and rising debt are indicators of a struggling economy, democrats point to low unemployment rates and strong job growth as signs of recovery. This divide reflects broader political tensions and differing economic philosophies. It’s crucial for us to look beyond the partisan rhetoric and focus on the facts that affect everyday Americans. Are we truly on the road to recovery, or are we facing deeper economic challenges? ",77.jpg,sweetpea,-46:36:00,Politics,81,15
74,"Anti-Israel encampments are springing up on college campuses across the US, sparking intense debates and protests. The campus climate is heating up over the Gaza conflict. ",74.jpg,sweetpea,-18:35:00,Politics,457,32
76,"Trump's recent conviction in NY has unexpectedly boosted his campaign contributions. According to reports, his son claims a record 24-hour fundraising haul. Despite the legal battles, Trump's supporters are rallying behind him more than ever. It’s fascinating to see how this development might influence the 2024 election. Will this newfound financial support strengthen his campaign or highlight deeper divisions in American politics? #TrumpConviction #2024Election",76.jpg,sweetpea,-70:37:00,Politics,695,46
50,"California & Oregon are reviving the war on drugs amid a rising #fentanylcrisis. 
Will this help or hurt our communities?  #DrugPolicy 🏥",50.jpg,tastyrobot,-12:01:00,Politics,2,1
53,"🚨🚨 Just read about PFAS,🚨🚨 the so-called ""forever chemicals,"" and it's alarming! 
These chemicals are incredibly persistent! 
These toxic substances stay in our blood longer than lead or arsenic. 
They are in everyday items like food packaging and clothing. 
The EPA is finally setting stricter limits on PFAS in drinking water, but there's still a long way to go. 
Time to be more conscious about what we consume! 🛑💧 ",53.jpg,tastyrobot,-40:04:00,Politics,14,4
52,"🚨 Hamas has rejected the latest Gaza peace plan,🚨  insisting on a permanent ceasefire and the withdrawal of Israeli forces. 
Despite international mediation efforts, no agreement has been reached. 
I think the situation is getting more intense . 🕊️",52.jpg,tastyrobot,-64:03:00,Politics,26,8
51,"Just read the latest on the Ukraine conflict. 
It's still intense with Russia hitting Ukraine's energy sector, causing major power outages. ⚡ 
The resilience of the Ukrainian people is incredible. 🇺🇦 
There's a peace summit coming up in Switzerland with countries like the US and Philippines joining in to find a diplomatic solution. 🕊️ 
Let's stay informed and support peace efforts. 🌍 ",51.jpg,tastyrobot,-88:02:00,Politics,422,35
162,Was very sad 2 hear the news about deadly storms and tornadoes over the weekend. Sending thoughts and prayers to all affected. #Iowa ,162.jpg,youngcunningham,-35:17:00,Politics,12,3
